Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets)
src/http/ngx_http_request.c:3485:13,,,,1,,,17,17,422,1270,,,0,0,0,0
src/http/ngx_http_request.c:3562:9,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_request.c:3621:16,,,,4,,,1,1,1241,1270,,,0,0,0,0
src/http/ngx_http_request.c:435:9,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/http/ngx_http_request.c:3064:13,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/http/ngx_http_request.c:3264:13,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/http/ngx_http_request.c:2531:13,,,,1,,,17,17,422,1270,,,0,0,0,0
src/http/ngx_http_request.c:2279:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_request.c:2241:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_request.c:2244:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_request.c:2279:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_request.c:1416:13,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/http/ngx_http_request.c:1347:23,,,,3,,,125,125,1172,1270,,,0,0,0,0
src/http/ngx_http_request.c:3174:9,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/http/ngx_http_request.c:3311:13,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:1763:10,,,,2,,,75,75,719,1270,,,0,0,0,0
src/http/modules/ngx_http_log_module.c:296:24,,,,2,,,16,16,719,1270,,,0,0,0,0
src/http/modules/ngx_http_log_module.c:336:25,,,,3,,,13,13,1172,1270,,,0,0,0,0
src/http/modules/ngx_http_log_module.c:365:17,,,,3,,,13,13,1172,1270,,,0,0,0,0
src/http/ngx_http_request_body.c:45:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_request_body.c:77:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_request_body.c:147:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_request_body.c:201:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_request_body.c:832:9,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/http/ngx_http_request_body.c:1074:10,,,,2,,,75,75,719,1270,,,0,0,0,0
src/http/ngx_http_request_body.c:921:10,,,,2,,,75,75,719,1270,,,0,0,0,0
src/http/ngx_http_request_body.c:336:17,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/http/ngx_http_request_body.c:421:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_request_body.c:684:13,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/http/ngx_http_variables.c:611:9,,,,3,,,125,125,1172,1270,,,0,0,0,0
src/http/ngx_http_variables.c:680:19,,,,3,,,125,125,1172,1270,,,0,0,0,0
src/http/ngx_http_variables.c:709:13,,,,3,,,125,125,1172,1270,,,0,0,0,0
src/http/ngx_http_script.c:83:16,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_script.c:98:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_script.c:514:16,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_script.c:529:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_script.c:1040:20,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_script.c:1635:48,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_script.c:1724:5,,,,3,,,6,6,1172,1270,,,0,0,0,0
src/http/ngx_http_upstream.c:525:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/http/ngx_http_upstream.c:4280:5,,,,2,,,23,23,719,1270,,,0,0,0,0
